,County,Total Potentially Developable Acres,Total Potentially Developable Parcels,Median Parcel Size (Acres),Share of Total Religious Acreage Statewide
0,Alameda County,881,612,0.74,1.87%
1,Alpine County*,12*,1*,*,*
2,Amador County*,67*,19*,*,*
3,Butte County*,876*,204*,*,*
1,Calaveras County,1300,68,1.22,2.77%
2,Colusa County,23,20,0.62,0.05%
3,Contra Costa County,1159,493,1.17,2.46%
4,Del Norte County,50,30,1.02,0.11%
5,El Dorado County,319,70,2.45,0.68%
6,Fresno County,1893,589,1.01,4.03%
7,Glenn County,79,37,0.55,0.17%
11,Humboldt County*,1259*,168*,*,*
8,Imperial County,226,146,0.5,0.48%
9,Inyo County,51,29,0.83,0.11%
10,Kern County,1686,463,0.85,3.59%
11,Kings County,181,113,0.85,0.39%
12,Lake County,106,58,0.92,0.23%
13,Lassen County,199,45,1.0,0.42%
14,Los Angeles County,4339,3064,0.74,9.23%
19,Madera County*,392*,100*,*,*
20,Marin County*,280*,94*,*,*
21,Mariposa County*,62*,14*,*,*
15,Mendocino County,1206,96,0.92,2.57%
16,Merced County,349,192,0.86,0.74%
17,Modoc County,24,27,0.59,0.05%
18,Mono County,30,18,1.06,0.06%
19,Monterey County,1083,219,1.03,2.3%
27,Napa County*,402*,66*,*,*
20,Nevada County,1492,79,3.74,3.17%
21,Orange County,1907,707,1.6,4.06%
22,Placer County,573,156,2.43,1.22%
31,Plumas County*,83*,17*,*,*
23,Riverside County,2800,855,1.65,5.95%
24,Sacramento County,1722,712,1.49,3.66%
25,San Benito County,52,20,1.21,0.11%
26,San Bernardino County,4063,914,1.99,8.64%
27,San Diego County,4000,1128,1.59,8.51%
28,San Francisco County,100,159,0.42,0.21%
29,San Joaquin County,941,389,1.0,2.0%
30,San Luis Obispo County,794,179,1.23,1.69%
31,San Mateo County,404,262,0.87,0.86%
32,Santa Barbara County,857,222,1.3,1.82%
33,Santa Clara County,1544,559,1.48,3.28%
34,Santa Cruz County,696,147,1.1,1.48%
35,Shasta County,440,121,1.8,0.94%
36,Sierra County,20,9,0.98,0.04%
37,Siskiyou County,131,65,1.0,0.28%
38,Solano County,787,198,1.16,1.67%
39,Sonoma County,1126,220,1.68,2.4%
40,Stanislaus County,1717,471,1.15,3.65%
41,Sutter County,200,71,1.06,0.43%
42,Tehama County,190,59,0.85,0.4%
43,Trinity County,259,29,1.63,0.55%
44,Tulare County,1030,451,0.68,2.19%
45,Tuolumne County,1117,62,3.6,2.38%
46,Ventura County,637,207,1.39,1.36%
47,Yolo County,1537,111,1.15,3.27%
48,Yuba County,696,90,0.88,1.48%
49,State Total,47019,15041,1.06,100%
