,County,Total Potentially Developable Acres,Total Potentially Developable Parcels,Median Parcel Size (Acres),Share of Total Higher Learning Acreage Statewide
0,Alameda County,2740.2,156.0,1.5,2.2
1,Butte County,4831.9,36.0,40.9,3.9
2,Calaveras County,89.5,5.0,3.2,0.1
3,Colusa County,16.7,7.0,0.7,0.0
4,Contra Costa County,1672.8,49.0,3.8,1.3
5,Del Norte County,1.2,1.0,1.2,0.0
6,El Dorado County,4265.1,30.0,44.7,3.4
7,Fresno County,1133.9,90.0,1.9,0.9
8,Humboldt County,517.2,27.0,3.6,0.4
9,Imperial County,520.1,11.0,0.4,0.4
10,Inyo County,735.7,7.0,40.0,0.6
11,Kern County,1007.6,72.0,1.9,0.8
12,Kings County,333.7,19.0,9.1,0.3
13,Lake County,582.5,11.0,22.6,0.5
14,Lassen County,1608.9,16.0,40.0,1.3
15,Los Angeles County,6032.5,681.0,1.0,4.8
16,Madera County,140.6,7.0,13.6,0.1
17,Marin County,568.6,37.0,1.8,0.5
18,Mariposa County,410.9,4.0,104.2,0.3
19,Mendocino County,233.0,8.0,15.3,0.2
20,Merced County,8503.9,39.0,113.0,6.8
21,Modoc County,23.0,5.0,0.9,0.0
22,Mono County,24.0,4.0,1.6,0.0
23,Monterey County,9578.7,113.0,10.0,7.7
24,Napa County,3571.5,99.0,6.4,2.9
25,Nevada County,1874.6,14.0,33.8,1.5
26,Orange County,2725.0,441.0,0.8,2.2
27,Placer County,1022.5,46.0,7.2,0.8
28,Plumas County,478.2,15.0,9.4,0.4
29,Riverside County,14349.8,468.0,5.6,11.5
30,Sacramento County,924.2,119.0,1.8,0.7
31,San Benito County,86.9,3.0,38.3,0.1
32,San Bernardino County,7115.7,349.0,1.1,5.7
33,San Diego County,5143.6,342.0,1.8,4.1
34,San Francisco County,179.8,40.0,1.7,0.1
35,San Joaquin County,476.4,33.0,2.0,0.4
36,San Luis Obispo County,418.6,19.0,0.9,0.3
37,San Mateo County,2854.5,118.0,2.7,2.3
38,Santa Barbara County,12391.3,92.0,10.6,9.9
39,Santa Clara County,8466.5,438.0,1.0,6.8
40,Santa Cruz County,2140.1,37.0,1.6,1.7
41,Shasta County,529.2,22.0,2.4,0.4
42,Siskiyou County,331.8,11.0,17.5,0.3
43,Solano County,1922.2,42.0,12.3,1.5
44,Sonoma County,958.1,78.0,1.3,0.8
45,Stanislaus County,141.3,14.0,1.4,0.1
46,Tehama County,56.5,3.0,10.0,0.0
47,Tulare County,1498.5,34.0,11.6,1.2
48,Tuolumne County,244.9,9.0,6.9,0.2
49,Ventura County,1175.2,39.0,5.9,0.9
50,Yolo County,2127.9,29.0,1.7,1.7
51,Yuba County,5953.2,21.0,192.3,4.8
,State Total,124729.7,4410.0,1.9,100.0
