,County,Percent Highest Resource,Percent High Resource,Percent Moderate Resource,Percent Low Resource,Percent High Segregation & Poverty,Percent No TCAC Designation
0,Alameda County,53.03%,2.75%,35.49%,8.63%,0.09%,0.0%
1,Butte County,99.66%,0.0%,0.28%,0.0%,0.0%,0.06%
2,Calaveras County,0.0%,0.39%,10.21%,89.4%,0.0%,0.0%
3,Colusa County,25.57%,0.0%,69.51%,0.0%,0.0%,4.92%
4,Contra Costa County,47.54%,0.68%,8.16%,43.54%,0.07%,0.0%
5,Del Norte County,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
6,El Dorado County,0.0%,0.0%,9.01%,90.99%,0.0%,0.0%
7,Fresno County,30.91%,31.5%,2.75%,19.41%,4.55%,10.88%
8,Humboldt County,42.82%,0.54%,47.07%,9.57%,0.0%,0.0%
9,Imperial County,41.29%,0.0%,49.05%,0.24%,0.0%,9.41%
10,Inyo County,0.0%,2.04%,97.96%,0.0%,0.0%,0.0%
11,Kern County,8.42%,46.81%,19.88%,19.99%,0.97%,3.93%
12,Kings County,54.89%,44.53%,0.0%,0.58%,0.0%,0.0%
13,Lake County,0.88%,53.8%,0.0%,43.14%,0.0%,2.17%
14,Lassen County,0.0%,4.9%,2.49%,82.67%,0.0%,9.94%
15,Los Angeles County,36.22%,22.68%,24.65%,8.98%,1.68%,5.8%
16,Madera County,21.67%,0.0%,0.0%,78.33%,0.0%,0.0%
17,Marin County,11.45%,4.72%,68.31%,15.53%,0.0%,0.0%
18,Mariposa County,0.0%,9.73%,0.0%,0.0%,0.0%,90.27%
19,Mendocino County,3.6%,0.0%,96.24%,0.16%,0.0%,0.0%
20,Merced County,95.18%,4.79%,0.01%,0.0%,0.01%,0.0%
21,Modoc County,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
22,Mono County,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
23,Monterey County,40.56%,0.0%,15.47%,14.68%,0.01%,29.28%
24,Napa County,6.17%,0.0%,35.71%,43.01%,0.0%,15.11%
25,Nevada County,3.98%,0.0%,0.0%,17.43%,0.0%,78.59%
26,Orange County,8.33%,13.28%,69.35%,8.99%,0.05%,0.0%
27,Placer County,89.0%,10.82%,0.19%,0.0%,0.0%,0.0%
28,Plumas County,0.0%,8.51%,51.89%,39.59%,0.0%,0.0%
29,Riverside County,9.8%,31.92%,13.96%,39.16%,3.81%,1.35%
30,Sacramento County,28.11%,6.94%,53.41%,10.21%,1.33%,0.0%
31,San Benito County,0.0%,89.41%,10.59%,0.0%,0.0%,0.0%
32,San Bernardino County,11.36%,5.96%,56.98%,20.15%,0.04%,5.52%
33,San Diego County,20.25%,34.69%,24.33%,15.42%,0.06%,5.25%
34,San Francisco County,29.42%,5.24%,39.93%,25.41%,0.0%,0.0%
35,San Joaquin County,23.94%,67.1%,3.19%,5.64%,0.13%,0.0%
36,San Luis Obispo County,60.89%,12.58%,2.88%,23.65%,0.0%,0.0%
37,San Mateo County,80.54%,15.04%,3.6%,0.82%,0.0%,0.0%
38,Santa Barbara County,72.26%,22.24%,3.45%,0.38%,0.0%,1.67%
39,Santa Clara County,11.07%,38.34%,50.49%,0.1%,0.0%,0.0%
40,Santa Cruz County,0.38%,57.39%,41.83%,0.41%,0.0%,0.0%
41,Shasta County,12.77%,85.01%,2.22%,0.0%,0.0%,0.0%
42,Siskiyou County,0.0%,0.0%,16.32%,42.23%,41.45%,0.0%
43,Solano County,48.87%,0.0%,49.82%,1.3%,0.0%,0.0%
44,Sonoma County,0.0%,19.25%,31.68%,49.07%,0.0%,0.0%
45,Stanislaus County,11.5%,5.55%,78.41%,4.54%,0.0%,0.0%
46,Tehama County,17.7%,69.46%,12.85%,0.0%,0.0%,0.0%
47,Tulare County,11.82%,21.45%,4.61%,61.73%,0.39%,0.0%
48,Tuolumne County,0.43%,0.0%,0.0%,0.0%,0.0%,99.57%
49,Ventura County,54.52%,0.75%,35.02%,9.71%,0.0%,0.0%
50,Yolo County,29.96%,0.42%,69.51%,0.11%,0.0%,0.0%
51,Yuba County,97.2%,2.72%,0.0%,0.0%,0.08%,0.0%
