,County,Mostly Non-Residential Zoning Percent,"Mostly Residential, of Which Mostly Non-Single-Family Zoning Percent","Mostly Residential, of Which Mostly Single-Family Zoning Percent"
0,Alameda County,89.97%,1.88%,8.15%
1,Butte County,99.96%,0.03%,0.01%
2,Calaveras County,100.0%,0.0%,0.0%
3,Colusa County,100.0%,0.0%,0.0%
4,Contra Costa County,68.58%,1.39%,30.04%
5,Del Norte County,100.0%,0.0%,0.0%
6,El Dorado County,95.51%,0.0%,4.49%
7,Fresno County,68.13%,13.73%,18.14%
8,Humboldt County,89.69%,0.65%,9.67%
9,Imperial County,100.0%,0.0%,0.0%
10,Inyo County,100.0%,0.0%,0.0%
11,Kern County,98.13%,1.63%,0.24%
12,Kings County,100.0%,0.0%,0.0%
13,Lake County,99.12%,0.0%,0.88%
14,Lassen County,100.0%,0.0%,0.0%
15,Los Angeles County,78.36%,1.83%,19.81%
16,Madera County,77.88%,0.0%,22.12%
17,Marin County,81.81%,11.11%,7.07%
18,Mariposa County,100.0%,0.0%,0.0%
19,Mendocino County,99.84%,0.0%,0.16%
20,Merced County,96.7%,0.0%,3.3%
21,Modoc County,100.0%,0.0%,0.0%
22,Mono County,96.48%,0.0%,3.52%
23,Monterey County,99.82%,0.14%,0.04%
24,Napa County,66.35%,0.19%,33.47%
25,Nevada County,100.0%,0.0%,0.0%
26,Orange County,87.1%,3.93%,8.97%
27,Placer County,91.87%,0.0%,8.13%
28,Plumas County,60.41%,0.0%,39.59%
29,Riverside County,18.0%,14.07%,67.93%
30,Sacramento County,95.25%,1.01%,3.74%
31,San Benito County,89.41%,0.0%,10.59%
32,San Bernardino County,82.17%,2.21%,15.62%
33,San Diego County,95.43%,1.31%,3.26%
34,San Francisco County,81.72%,14.12%,4.16%
35,San Joaquin County,97.1%,0.84%,2.05%
36,San Luis Obispo County,61.89%,25.53%,12.58%
37,San Mateo County,87.85%,0.75%,11.41%
38,Santa Barbara County,98.66%,0.97%,0.37%
39,Santa Clara County,92.65%,0.41%,6.94%
40,Santa Cruz County,99.68%,0.01%,0.31%
41,Shasta County,91.28%,7.89%,0.83%
42,Siskiyou County,100.0%,0.0%,0.0%
43,Solano County,100.0%,0.0%,0.0%
44,Sonoma County,9.99%,2.31%,87.7%
45,Stanislaus County,84.36%,0.0%,15.64%
46,Tehama County,100.0%,0.0%,0.0%
47,Tulare County,95.39%,4.61%,0.0%
48,Tuolumne County,99.57%,0.0%,0.43%
49,Ventura County,99.04%,0.0%,0.96%
50,Yolo County,99.59%,0.0%,0.41%
51,Yuba County,97.33%,0.0%,2.67%
